attendance,study_hours,internal_marks,assignments_submitted,activities_participated,outcome
53.1,3.7,74.1,7,1,Pass
96.3,1.4,31.0,7,3,Fail
79.9,4.9,43.2,4,0,Pass
69.9,3.6,83.0,2,3,Pass
36.7,1.3,64.7,8,5,Fail
36.7,5.3,94.6,6,1,Pass
29.4,3.1,57.2,0,0,Fail
90.0,0.9,90.2,7,3,Pass
70.1,3.6,58.7,9,4,Pass
78.1,1.8,98.4,4,0,Fail
26.5,4.5,97.0,5,0,Pass
97.7,4.6,49.7,8,0,Pass
87.4,5.4,91.4,9,3,Pass
40.9,3.0,88.6,7,2,Pass
38.6,2.8,40.8,10,5,Pass
38.8,4.3,71.8,2,0,Fail
47.8,1.2,30.5,4,4,Fail
64.4,3.2,87.8,3,4,Pass
57.4,3.2,38.1,0,1,Fail
46.8,0.9,30.3,4,2,Fail
70.9,2.6,55.0,9,2,Pass
35.5,4.8,68.3,6,3,Pass
46.9,4.8,89.1,0,1,Pass
52.5,1.0,98.1,3,3,Fail
59.2,1.0,58.0,5,1,Fail
83.9,1.8,29.5,10,5,Fail
40.0,4.9,81.2,8,2,Pass
63.6,1.1,67.4,10,5,Pass
69.4,4.1,58.6,7,3,Pass
28.5,1.0,48.2,1,1,Fail
70.6,3.6,62.7,10,2,Pass
37.8,2.3,50.4,2,2,Fail
29.9,4.4,81.8,9,0,Pass
96.2,1.7,65.8,4,3,Fail
97.4,3.7,90.8,10,0,Pass
85.6,1.7,65.8,6,2,Fail
47.8,4.1,42.9,2,3,Fail
32.3,4.9,88.8,6,3,Pass
76.3,1.1,66.8,4,5,Fail
58.0,4.8,40.5,9,4,Pass
34.2,3.5,71.8,5,1,Fail
62.1,1.1,51.8,5,4,Fail
27.6,2.6,88.3,10,4,Pass
93.2,1.3,59.0,10,2,Pass
44.4,4.0,79.5,3,5,Pass
74.7,4.3,32.2,7,1,Pass
48.4,1.0,54.7,8,4,Fail
64.0,3.0,98.7,1,4,Pass
66.0,4.6,85.6,8,3,Pass
38.9,5.2,37.0,10,2,Pass
97.7,3.1,45.8,3,4,Fail
83.1,5.3,49.7,5,1,Pass
95.5,3.2,73.8,6,0,Pass
92.1,2.5,81.8,3,0,Fail
69.8,4.7,81.2,7,2,Pass
94.1,3.0,63.2,9,0,Pass
31.6,2.9,85.8,7,3,Pass
39.7,3.0,57.8,0,3,Fail
28.4,4.7,34.3,7,1,Fail
49.4,4.7,67.3,9,5,Pass
54.2,2.5,96.4,2,2,Fail
45.4,2.2,84.5,4,2,Fail
87.2,3.0,68.4,9,0,Pass
51.8,3.4,73.5,7,4,Pass
46.1,1.7,94.8,10,4,Pass
65.7,4.5,57.1,5,5,Pass
35.6,2.9,49.9,3,4,Fail
85.2,2.2,98.3,3,5,Pass
30.6,1.0,89.8,3,1,Fail
99.0,1.7,49.2,5,2,Fail
82.9,5.2,59.8,6,0,Pass
39.9,2.0,56.1,4,1,Fail
25.4,1.3,36.2,9,3,Fail
86.2,2.8,96.8,7,3,Pass
78.0,2.0,55.3,6,3,Fail
79.7,0.7,90.6,7,5,Pass
82.8,2.1,39.2,3,5,Fail
30.6,3.2,66.1,7,2,Fail
51.9,3.3,26.8,5,3,Fail
33.7,2.3,82.3,2,5,Fail
